Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
3Ru2Dg6Nw4Qw,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/23/2024,24-25 Supreme,OPT,
7Ze4Qr9Ih6Hc,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/2/2024,24-25 Supreme,Graduate,
4Pc0Hn9Ms2Sl,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/17/2024,24-25 Prime 500,J1,
7Tl2Pi1Bx3Xr,9/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/17/2024,24-25 Prime 500,OPT,
5Nm1Hx8Hx6Ad,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/19/2024,24-25 Prime 500,Undergraduate,23-24 Elite
7Cq9Fh0Fc0Pt,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/21/2024,24-25 Prime 100,Graduate,
7Up9Pp8Pw7Yp,9/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/26/2024,24-25 Prime 500,Undergraduate,
4Pl1Dy2Vn2Fd,9/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/26/2024,24-25 Prime 500,Undergraduate,23-24 Prime 100
9Tl3Vj9Dn9Gk,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,8/28/2024,24-25 Prime 500,Graduate,
5Ax2Ax0Fy2Wf,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/29/2024,24-25 Prime 500,Undergraduate,
0Ue4Ir7Zl5Ak,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/30/2024,24-25 Prime 100,Graduate,
4Xh9Nl7Hc7Fi,9/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/30/2024,24-25 Prime 500,J1,
3Yx9Fq6We9Ne,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/31/2024,24-25 Prime 100,OPT,
0Sj4Us7Xe2Dw,9/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,9/1/2024,24-25 Supreme,OPT,
5Wc7Lr2Qg6Ez,9/10/2024,Enrolled,1,No,,Customer Rep 2,9/1/2024,24-25 Prime 500,Graduate,
3Kn1Ud2Kl9Pl,9/10/2024,Enrolled,1,Yes,,Customer Rep 1,9/2/2024,24-25 Prime 500,J1,
7Zi4Zc7Vx0Vn,9/10/2024,Enrolled,3,Yes,Sales 2,Customer Rep 2,9/26/2024,24-25 Prime 100,Graduate,
7Iw2Pb9Wq5Gp,9/10/2024,Enrolled,6,Yes,Sales 1,Customer Rep 1,11/25/2024,24-25 Prime 500,Undergraduate,
5Vf7Rp9Ex2Jt,9/10/2024,Enrolled,4,Yes,Sales 1,Customer Rep 2,11/25/2024,24-25 Prime 500,Graduate,
3Ji1Vr4Ud7Fr,9/10/2024,Enrolled,5,Yes,Sales 2,Customer Rep 1,11/27/2024,24-25 Prime 500,Graduate,
6Cx3Zn5Po3Pl,9/10/2024,Enrolled,6,Yes,Sales 1,Customer Rep 2,11/29/2024,24-25 Prime 100,J1,
